,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GOR JAKABARING,7:30:58 AM,7:31:08 AM,37.4,25.2,12,0.26,7:30:24 AM,150.40,7:30:36 AM,150.60,7:31:17 AM,151.28,,20,GOR JAKABARING,9:10:02 AM,9:10:12 AM,37.4,27.5,25,0.26,9:09:37 AM,249.62,9:09:46 AM,249.77,9:09:49 AM,249.82,,20,GOR JAKABARING,10:43:40 AM,10:43:50 AM,38.20,29.40,19,0.26,10:43:22 AM,343.36,10:43:29 AM,343.48,10:43:46 AM,343.77,,20,GOR JAKABARING,12:15:14 PM,12:15:24 PM,46.1,26.8,12,0.26,12:15:00 PM,435.01,12:15:15 PM,435.25,12:15:58 PM,435.97,,20,GOR JAKABARING,1:49:27 PM,,38,33.6,20,0.25,1:49:04 PM,529.06,1:49:07 PM,529.11,1:49:25 PM,529.42,,20,GOR JAKABARING,15:17:20,,30,20.5,16,0.3,3:17:06 PM,617.10,3:17:23 PM,617.38,3:17:38 PM,617.63,,20,GOR JAKABARING,4:50:10 PM,,34,31,24,0.28,4:49:50 PM,709.83,4:49:53 PM,709.88,4:50:02 PM,710.03,,20,GOR JAKABARING,6:01:58 PM,,33,29,29,0.27,6:01:28 PM,781.47,6:01:33 PM,781.54,6:01:33 PM,781.54
21,BANK SUMSEL BABEL B,7:32:16 AM,7:32:26 AM,37.7,29.3,15,0.64,7:31:59 AM,151.99,7:32:17 AM,152.28,7:33:32 AM,153.53,,21,BANK SUMSEL BABEL B,9:11:03 AM,9:11:13 AM,41,32.9,27,0.64,9:10:58 AM,250.97,9:11:12 AM,251.20,9:11:27 AM,251.46,,21,BANK SUMSEL BABEL B,10:44:48 AM,10:44:58 AM,41.90,33.30,25,0.64,10:44:35 AM,344.58,10:44:49 AM,344.82,10:45:12 AM,345.20,,21,BANK SUMSEL BABEL B,12:16:40 PM,12:16:50 PM,39.6,20.3,11,0.64,12:16:12 PM,436.20,12:17:07 PM,437.12,12:18:43 PM,438.72,,21,BANK SUMSEL BABEL B,1:50:47 PM,,42,32.9,18,0.71,1:50:28 PM,530.46,1:50:45 PM,530.74,1:51:49 PM,531.82,,21,BANK SUMSEL BABEL B,15:18:39,,43,37.5,21,0.8,3:18:27 PM,618.45,3:18:37 PM,618.61,3:19:37 PM,619.62,,21,BANK SUMSEL BABEL B,4:51:33 PM,,40,27.7,35,0.65,4:51:09 PM,711.14,4:51:34 PM,711.57,4:51:17 PM,711.28,,21,BANK SUMSEL BABEL B,6:03:15 PM,,40,23,23,0.65,6:02:57 PM,782.94,6:03:40 PM,783.66,6:03:40 PM,783.66
22,PLN B,7:33:57 AM,7:34:07 AM,36.2,24.5,10,0.74,7:33:30 AM,153.49,7:34:05 AM,154.08,7:36:42 AM,156.71,,22,PLN B,9:12:55 AM,9:13:05 AM,41.8,33.2,30,0.74,9:12:07 AM,252.11,9:12:23 AM,252.39,9:12:32 AM,252.53,,22,PLN B,10:46:08 AM,10:46:18 AM,43.20,35.60,27,0.74,10:45:50 AM,345.83,10:46:03 AM,346.05,10:46:27 AM,346.44,,22,PLN B,12:18:00 PM,12:18:10 PM,44.2,25.8,14,0.74,12:17:40 PM,437.67,12:18:23 PM,438.39,12:19:50 PM,439.84,,22,PLN B,1:52:50 PM,,41,35.1,23,0.62,1:51:41 PM,531.69,1:51:51 PM,531.84,1:52:24 PM,532.40,,22,PLN B,15:20:07,,42,36.8,30,1.1,3:20:13 PM,620.22,3:20:27 PM,620.44,3:20:51 PM,620.85,,22,PLN B,4:53:01 PM,,43,30.6,30,0.6,4:52:23 PM,712.39,4:52:44 PM,712.73,4:52:45 PM,712.75,,22,PLN B,6:04:56 PM,,38,29,29,0.75,6:04:26 PM,784.43,6:04:48 PM,784.80,6:04:48 PM,784.80
23,SIMPANG RS BARI,7:34:46 AM,7:34:56 AM,39.2,28.4,13,0.9,7:35:20 AM,155.33,7:35:51 AM,155.85,7:38:06 AM,158.10,,23,SIMPANG RS BARI,9:15:07 AM,9:15:17 AM,40,31.8,10,0.9,9:14:16 AM,254.27,9:14:37 AM,254.61,9:18:19 AM,258.32,,23,SIMPANG RS BARI,10:47:50 AM,10:48:00 AM,44.70,35.30,22,0.9,10:47:20 AM,347.34,10:47:40 AM,347.66,10:48:35 AM,348.59,,23,SIMPANG RS BARI,12:19:40 PM,12:19:50 PM,42.4,23.0,15,0.9,12:19:16 PM,439.27,12:20:21 PM,440.35,12:21:36 PM,441.60,,23,SIMPANG RS BARI,1:54:10 PM,,43,36.7,14,0.91,1:54:06 PM,534.10,1:54:19 PM,534.32,1:56:44 PM,536.73,,23,SIMPANG RS BARI,15:22:00,,43,40.5,10,0.9,3:21:22 PM,621.37,3:21:27 PM,621.45,3:25:31 PM,625.52,,23,SIMPANG RS BARI,4:54:50 PM,,43,24.6,12,0.9,4:54:16 PM,714.27,4:55:13 PM,715.21,4:57:31 PM,717.52,,23,SIMPANG RS BARI,6:06:50 PM,,39,12,12,0.9,6:06:19 PM,786.32,6:09:26 PM,789.43,6:09:26 PM,789.43
24,PENGADILAN AGAMA,7:36:02 AM,7:36:12 AM,37.6,24.2,10,0.77,7:36:00 AM,156.00,7:36:41 AM,156.68,7:39:23 AM,159.39,,24,PENGADILAN AGAMA,9:15:23 AM,9:15:33 AM,41.8,35.9,31,0.77,9:16:13 AM,256.22,9:16:24 AM,256.40,9:16:36 AM,256.61,,24,PENGADILAN AGAMA,10:49:24 AM,10:49:34 AM,45.10,36.40,26,0.77,10:48:51 AM,348.86,10:49:06 AM,349.10,10:49:37 AM,349.61,,24,PENGADILAN AGAMA,12:21:24 PM,12:21:34 PM,43.6,25.4,16,0.77,12:20:44 PM,440.73,12:21:29 PM,441.49,12:22:33 PM,442.55,,24,PENGADILAN AGAMA,1:55:45 PM,,42,38.5,30,1.3,1:56:01 PM,536.02,1:56:12 PM,536.19,1:56:46 PM,536.77,,24,PENGADILAN AGAMA,15:23:28,,43,37.5,15,1.3,3:23:49 PM,623.81,3:24:05 PM,624.08,3:27:12 PM,627.20,,24,PENGADILAN AGAMA,4:56:17 PM,,42,36,32,1.4,4:56:50 PM,716.83,4:57:10 PM,717.17,4:57:28 PM,717.46,,24,PENGADILAN AGAMA,6:08:30 PM,,43,21,21,0.8,6:07:57 PM,787.95,6:09:07 PM,789.12,6:09:07 PM,789.12
,TERMINAL JAKABARING,7:38:31 AM,,35.9,20.2,9,0.79,7:37:21 AM,157.35,7:38:23 AM,158.38,7:41:18 AM,161.30,,,TERMINAL JAKABARING,9:17:34 AM,,34.6,18.7,9,0.79,9:16:45 AM,256.75,9:17:55 AM,257.92,9:20:39 AM,260.65,,,TERMINAL JAKABARING,10:51:59 AM,,39.70,20.70,14,0.79,10:50:36 AM,350.59,10:51:41 AM,351.69,10:52:47 AM,352.79,,,TERMINAL JAKABARING,12:23:35 PM,,42.3,22.5,11,0.79,12:22:31 PM,442.52,12:23:30 PM,443.51,12:25:43 PM,445.71,,,TERMINAL JAKABARING,1:58:00 PM,,40,39.9,8,0.8,1:56:57 PM,536.95,1:56:57 PM,536.95,2:01:45 PM,541.75,,,TERMINAL JAKABARING,15:25:40,,40,30.5,14,0.8,3:24:40 PM,624.67,3:25:02 PM,625.04,3:26:54 PM,626.90,,,TERMINAL JAKABARING,4:58:30 PM,,42,22.7,7,1,4:57:43 PM,717.71,4:58:56 PM,718.93,5:04:51 PM,724.85,,,TERMINAL JAKABARING,6:10:44 PM,,37,9,9,0.75,6:09:43 PM,789.72,6:13:30 PM,793.50,6:13:30 PM,793.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.21,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.21,5:01:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,5:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
