,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,STASIUN JAKABARING,6:56:43 AM,,37.1,44.6,2.2,1.06,6:56:33 AM,116.55,6:56:16 AM,116.26,7:23:45 AM,143.74,,19,STASIUN JAKABARING,8:39:10 AM,,37.1,46.4,5.0,1.07,8:38:52 AM,218.86,8:38:31 AM,218.52,8:49:58 AM,229.97,,19,STASIUN JAKABARING,10:09:13 AM,,32.9,42.1,4.0,1.06,10:09:04 AM,309.07,10:08:39 AM,308.64,10:23:02 AM,323.03,,19,STASIUN JAKABARING,11:34:51 AM,,35.8,45.7,2.2,1.06,11:34:40 AM,394.66,11:34:17 AM,394.28,12:01:48 PM,421.79,,19,STASIUN JAKABARING,1:06:37 PM,1:06:47 PM,37.9,46.1,4.7,1.06,1:06:27 PM,486.44,1:06:09 PM,486.15,1:18:18 PM,498.30,,19,STASIUN JAKABARING,2:37:24 PM,2:37:34 PM,40.2,46.1,6.7,1.20,2:38:37 PM,578.62,2:38:24 PM,578.40,2:47:35 PM,587.58,,19,STASIUN JAKABARING,4:12:20 PM,4:12:30 PM,39.4,46.4,7.7,0.92,4:11:51 PM,671.85,4:11:38 PM,671.64,4:17:37 PM,677.62,,19,STASIUN JAKABARING,5:29:23 PM,5:29:33 PM,41.7,47.5,6.8,1.06,5:29:18 PM,749.29,5:29:06 PM,749.11,5:37:07 PM,757.12
20,GOR JAKABARING,6:57:36 AM,,24.8,37.1,1.9,0.24,6:57:18 AM,117.30,6:57:06 AM,117.10,7:04:18 AM,124.30,,20,GOR JAKABARING,8:40:50 AM,,27.2,40.3,4.3,0.24,8:39:42 AM,219.70,8:39:31 AM,219.52,8:42:31 AM,222.52,,20,GOR JAKABARING,10:10:05 AM,,22.1,30.6,5.5,0.24,10:09:52 AM,309.87,10:09:41 AM,309.69,10:11:50 AM,311.83,,20,GOR JAKABARING,11:35:39 AM,,25.8,40.1,6.0,0.24,11:35:24 AM,395.41,11:35:13 AM,395.21,11:37:15 AM,397.25,,20,GOR JAKABARING,1:07:19 PM,1:07:29 PM,27.9,49.7,5.2,0.27,1:07:12 PM,487.20,1:06:57 PM,486.94,1:09:44 PM,489.73,,20,GOR JAKABARING,2:38:07 PM,2:38:17 PM,29.0,49.7,6.1,0.40,2:38:14 PM,578.23,2:37:53 PM,577.88,2:41:20 PM,581.33,,20,GOR JAKABARING,4:12:59 PM,4:13:09 PM,28.3,47.7,8.3,0.12,4:12:35 PM,672.59,4:12:29 PM,672.48,4:13:12 PM,673.20,,20,GOR JAKABARING,5:30:00 PM,5:30:10 PM,29.4,46.4,8.1,0.25,5:29:54 PM,749.89,5:29:42 PM,749.71,5:31:14 PM,751.24
21,BANK SUMSEL BABEL B,6:59:18 AM,,30.1,37.8,2.3,0.65,6:58:54 AM,118.90,6:58:38 AM,118.63,7:14:33 AM,134.56,,21,BANK SUMSEL BABEL B,8:41:25 AM,,31.2,41.0,2.7,0.65,8:42:05 AM,222.08,8:41:47 AM,221.78,8:55:17 AM,235.28,,21,BANK SUMSEL BABEL B,10:11:26 AM,,31.7,42.1,5.0,0.64,10:11:18 AM,311.29,10:11:00 AM,311.00,10:17:46 AM,317.76,,21,BANK SUMSEL BABEL B,11:36:59 AM,,32.9,43.6,3.5,0.64,11:36:49 AM,396.82,11:36:32 AM,396.53,11:46:37 AM,406.62,,21,BANK SUMSEL BABEL B,1:08:29 PM,1:08:39 PM,34.8,43.6,4.8,0.65,1:08:26 PM,488.44,1:08:13 PM,488.21,1:15:27 PM,495.44,,21,BANK SUMSEL BABEL B,2:39:19 PM,2:39:29 PM,37.1,43.6,5.6,0.78,2:39:23 PM,579.38,2:39:11 PM,579.19,2:46:28 PM,586.47,,21,BANK SUMSEL BABEL B,4:14:16 PM,4:14:26 PM,36.3,45.1,3.4,0.51,4:13:50 PM,673.83,4:13:40 PM,673.66,4:21:59 PM,681.98,,21,BANK SUMSEL BABEL B,5:31:05 PM,5:31:15 PM,38.6,47.2,4.0,0.64,5:31:00 PM,750.99,5:30:49 PM,750.81,5:39:36 PM,759.60
22,PLN B,7:00:18 AM,,36.4,54.0,2.4,0.78,7:00:35 AM,120.59,7:00:10 AM,120.17,7:18:48 AM,138.80,,22,PLN B,8:43:54 AM,,33.9,45.7,3.0,0.79,8:42:49 AM,222.81,8:42:27 AM,222.45,8:57:13 AM,237.22,,22,PLN B,10:13:03 AM,,33.4,40.1,4.3,0.78,10:12:50 AM,312.83,10:12:36 AM,312.60,10:22:19 AM,322.32,,22,PLN B,11:38:30 AM,,33.6,40.2,2.9,0.78,11:38:23 AM,398.38,11:38:09 AM,398.15,11:53:07 AM,413.12,,22,PLN B,1:09:50 PM,1:10:00 PM,37.2,44.6,3.5,0.77,1:09:44 PM,489.73,1:09:31 PM,489.52,1:21:41 PM,501.68,,22,PLN B,2:40:28 PM,2:40:38 PM,39.2,44.6,7.2,0.92,2:40:43 PM,580.72,2:40:33 PM,580.55,2:46:59 PM,586.98,,22,PLN B,4:15:47 PM,4:15:57 PM,38.4,45.9,7.1,0.64,4:15:16 PM,675.27,4:15:06 PM,675.10,4:19:41 PM,679.68,,22,PLN B,5:32:20 PM,5:32:30 PM,40.4,48.2,9.3,0.79,5:32:15 PM,752.26,5:32:04 PM,752.07,5:36:11 PM,756.18
23,SIMPANG RS BARI,7:02:18 AM,,30.8,54.4,1.2,0.90,7:02:03 AM,122.05,7:01:18 AM,121.29,7:45:18 AM,165.30,,23,SIMPANG RS BARI,8:45:56 AM,,28.6,46.4,5.0,0.90,8:45:47 AM,225.79,8:45:04 AM,225.06,8:54:42 AM,234.70,,23,SIMPANG RS BARI,10:14:59 AM,,30.7,43.2,1.0,0.91,10:14:50 AM,314.83,10:14:19 AM,314.31,11:07:39 AM,367.65,,23,SIMPANG RS BARI,11:40:23 AM,,31.5,40.7,3.4,0.90,11:40:13 AM,400.21,11:39:50 AM,399.83,11:54:23 AM,414.38,,23,SIMPANG RS BARI,1:11:38 PM,1:11:48 PM,31.9,43.6,9.4,0.90,1:11:32 PM,491.53,1:11:04 PM,491.07,1:15:35 PM,495.58,,23,SIMPANG RS BARI,2:41:59 PM,2:42:09 PM,35.2,43.6,5.7,1.03,2:42:13 PM,582.22,2:41:53 PM,581.88,2:51:19 PM,591.31,,23,SIMPANG RS BARI,4:17:35 PM,4:17:45 PM,34.3,45.0,3.9,0.70,4:17:00 PM,677.01,4:16:43 PM,676.72,4:26:33 PM,686.55,,23,SIMPANG RS BARI,5:33:54 PM,5:34:04 PM,37.6,47.2,7.2,0.88,5:33:44 PM,753.74,5:33:27 PM,753.45,5:39:40 PM,759.67
24,PENGADILAN AGAMA,7:04:18 AM,,29.1,38.2,1.4,0.81,7:03:58 AM,123.97,7:03:34 AM,123.57,7:37:01 AM,157.01,,24,PENGADILAN AGAMA,8:46:41 AM,,29.6,44.3,2.6,0.80,8:47:33 AM,227.55,8:47:01 AM,227.02,9:04:24 AM,244.39,,24,PENGADILAN AGAMA,10:16:38 AM,,31.0,40.0,1.2,0.81,10:16:33 AM,316.55,10:16:12 AM,316.20,10:55:29 AM,355.48,,24,PENGADILAN AGAMA,11:42:04 AM,,31.8,42.3,1.6,0.81,11:41:55 AM,401.91,11:41:32 AM,401.53,12:10:46 PM,430.76,,24,PENGADILAN AGAMA,1:13:06 PM,1:13:16 PM,35.0,42.8,8.3,0.79,1:12:59 PM,492.99,1:12:44 PM,492.74,1:17:21 PM,497.34,,24,PENGADILAN AGAMA,2:43:02 PM,2:43:12 PM,41.1,42.8,10.3,4.64,2:48:45 PM,588.76,2:48:29 PM,588.49,3:09:01 PM,609.01,,24,PENGADILAN AGAMA,4:19:08 PM,4:19:18 PM,40.3,40.4,3.2,4.40,4:24:08 PM,684.13,4:24:07 PM,684.12,5:40:05 PM,760.08,,24,PENGADILAN AGAMA,5:35:15 PM,5:35:25 PM,46.4,38.8,5.8,8.20,5:44:30 PM,764.50,5:46:35 PM,766.58,6:58:44 PM,838.73
,TERMINAL JAKABARING,7:07:18 AM,,15.2,38.5,2.3,0.80,7:07:27 AM,127.46,7:05:33 AM,125.55,7:25:10 AM,145.17,,,TERMINAL JAKABARING,8:48:55 AM,,22.9,43.9,3.2,0.80,8:48:47 AM,228.78,8:47:47 AM,227.78,9:01:41 AM,241.68,,,TERMINAL JAKABARING,10:18:53 AM,,22.6,37.5,2.0,0.80,10:18:45 AM,318.76,10:17:55 AM,317.91,10:40:38 AM,340.63,,,TERMINAL JAKABARING,11:44:02 AM,,25.5,36.4,2.5,0.80,11:43:57 AM,403.95,11:43:23 AM,403.39,12:01:16 PM,421.27,,,TERMINAL JAKABARING,1:15:18 PM,1:15:28 PM,15.2,31.0,6.5,1.30,1:18:14 PM,498.23,1:15:37 PM,495.62,1:25:06 PM,505.10,,,TERMINAL JAKABARING,2:45:15 PM,2:45:25 PM,19.3,31.0,11.5,1.12,2:46:31 PM,586.52,2:45:12 PM,585.20,2:48:53 PM,588.88,,,TERMINAL JAKABARING,4:21:41 PM,4:21:51 PM,18.5,33.6,9.7,0.92,4:22:07 PM,682.12,4:20:47 PM,680.78,4:24:49 PM,684.82,,,TERMINAL JAKABARING,5:37:27 PM,5:37:37 PM,22.6,37.1,9.5,0.81,5:37:24 PM,757.40,5:36:34 PM,756.56,5:40:22 PM,760.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.21,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.21,5:01:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.00,5:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
